route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
24E,ECIL Bus Terminal,Secunderabad (Medchal),27,26,Secunderabad Bus Station 2,ECIL Bus Terminal,5:00 AM,10:49 AM
24,Yapral,Secunderabad Bus Station,13,15,Secunderabad Bus Station 2,Yapral Water Tanks Bus Stop,8:40 AM,6:40 PM
23,Secunderabad (Medchal),Subash Nagar,11,8,Subash Nagar Bus Stop,Secunderabad (Medchal),12:25 PM,12:25 PM
22T,Turkapally,Secunderabad (Medchal),42,43,Secunderabad Bus Station 2,Turkapally,5:45 AM,10:10 PM
22M,Old Alwal ZPHS,Secunderabad (Medchal),17,19,Secunderabad Bus Station 2,Old Alwal Bus Stop,7:15 AM,8:00 PM
21W/2017J,TSRTC Dilsukhnagar Bus Station,West Venkatapuram,50,48,West Venkatapuram,Dilsukhnagar Bus Station,6:20 AM,7:35 PM
21W/107J,Saroor Nagar Bus Terminal,West Venkatapuram,58,57,West Venkatapuram,Saroor Nagar Bus Terminal,6:20 AM,10:20 AM
21/107J,Saroor Nagar Bus Terminal,Venkatapuram,52,52,Venkatapuram Last Bus Stop,Saroor Nagar Bus Terminal,6:07 AM,3:37 PM
8R,Resala Bazar,Central Bus Station (CBS),48,38,Central Bus Station (CBS),Resala Bazar,4:45 AM,10:14 PM
5R,Mehdipatnam,Hakimpet Bus Depot,44,46,Hakimpet Bus Depot,Mehdipatnam Bus Stop,6:39 AM,4:29 PM
83J/272G,Gandimaisamma X Road,Kachiguda Bus Station,63,57,Kachiguda Bus Station,Gandimaysamma X Road Bus Stop,10:43 AM,12:13 PM
83J/230,Dundigal,Kachiguda Bus Station,66,60,Kachiguda Bus Stop,Dundigal Bus Stop,6:56 AM,4:41 PM
3KN,Afzalgunj Terminal,Kushaiguda Depot,47,49,Kushaiguda Depot,Afzalgunj Bus Terminus,5:15 AM,7:40 PM
49/250M,Narsingi,Mehdipatnam,68,56,ECIL,Narsingi Bus Stop,6:20 AM,6:15 PM
40,Koti Bus Terminal,Secunderabad Bus Station,23,24,Secunderabad Bus Station 2,Koti Bus Terminal,1:01 AM,10:20 AM
26M,Old Bowenpally,Secunderabad Bus Station,17,20,Secunderabad Bus Station 2,Old Bowenpally Bus Depot,11:40 AM,8:10 PM
25S,Secunderabad (Medchal),Suchitra,26,28,Suchitra,Secunderabad (Medchal),11:55 AM,8:50 PM
24B,Balaji Nagar,Secunderabad Bus Station,29,31,Secunderabad Bus Station 2,Balaji Nagar,5:50 AM,8:45 PM
16A/47LI,Waverock,ECIL X Road,72,70,ECIL X Road,Waverock,4:44 AM,4:49 AM
8M,Secunderabad Bus Station,Central Bus Station (CBS),32,24,Central Bus Station,Secunderabad Bus Station 2,3:05 PM,8:44 PM
8C,Chandrayanagutta,Secunderabad Bus Station,38,32,Secunderabad Bus Station 2,Chandrayanagutta,7:25 AM,8:20 PM
7X,Secunderabad Bus Station,Ranigunj Bus Depot,11,9,Ranigunj Bus Depot,Secunderabad Bus Station 2,6:05 AM,7:40 AM
5M,Mehdipatnam,Secunderabad Bus Station,22,26,Secunderabad Bus Station 2,Mehdipatnam,5:40 AM,11:50 AM
5K/92,Secunderabad Bus Station,Rajendra Nagar,39,38,Rajendra Nagar Bus Stop,Secunderabad Bus Station 2,6:15 AM,5:15 PM
5K,Mehdipatnam,Secunderabad Bus Station,21,25,Secunderabad Bus Station 2,Mehdipatnam Bus Stop,7:10 AM,3:00 PM
49M/250,ECIL X Road Bus Terminal,Towlichowki,59,67,Talla Gadda,ECIL,5:45 AM,6:25 AM
30,Secunderabad Bus Station,Jagadgirigutta,32,32,Jagadgiri Gutta Bus Stop,Secunderabad Bus Station 2,5:40 AM,12:04 PM
211M,CRPF,Secunderabad Bus Station,29,27,Secunderabad Bus Station 2,Malle Gudem,5:10 AM,10:22 AM
589,Ramayanpet,Gurudwara(Secunderabad Bus Station),51,47,Secunderabad Bus Station 2,Ramayampet TSRTC Bus Station,5:45 AM,8:05 PM
277U,Uppariguda,Koti Womens College,34,35,Koti Womens College,Uppariguda,6:30 AM,7:40 PM
277P,Nalgonda X Road,Pocharam Village Main Road,67,70,Pocharam Village Main Road,Nalgonda X Road,9:22 PM,8:43 PM
277K,Koti Womens College,Kongara Kalan Village,46,43,Kongara Kalan Village,Koti Womens College,5:40 AM,7:30 PM
277,Mahatma Gandhi Bus Station (MGBS),Ibrahimpatnam Bus Depot,44,43,Ibrahimpatnam Bus Depot,Mahatma Gandhi Bus Station (MGBS),5:00 AM,9:00 PM
254M,Koti Womens College,Kongara Kalan,29,28,Kongara Kalan,Koti Womens College,6:10 AM,7:40 PM
